emp_no,first_name,last_name,dept_name
10042,Magy,Stamatiou,Finance
10050,Yinghua,Dredge,Finance
10059,Alejandro,McAlpine,Finance
10080,Premal,Baek,Finance
10132,Ayakannu,Skrikant,Finance
10144,Marla,Brendel,Finance
10146,Chenyi,Syang,Finance
10147,Kazuhito,Encarnacion,Finance
10165,Miyeon,Macedo,Finance
10173,Shrikanth,Mahmud,Finance
10177,Pragnesh,Iisaka,Finance
10180,Shaw,Wendorf,Finance
10186,Shigehito,Kropatsch,Finance
10187,Tommaso,Narwekar,Finance
10194,Josyula,Hofmeyr,Finance
10196,Marc,Hellwagner,Finance
10209,Yolla,Ellozy,Finance
10220,Kish,Fasbender,Finance
10241,Ortrud,Murillo,Finance
10263,Takahiro,Waterhouse,Finance
10272,Yishai,Cannane,Finance
10295,Kristine,Velardi,Finance
10301,Lucien,Staudhammer,Finance
10351,Tadahiko,Strehl,Finance
10354,Moto,Kusakari,Finance
10403,Atreyi,Mungall,Finance
10416,Uli,Keustermans,Finance
10456,Stepehn,Hardjono,Finance
10459,Ennio,Trogemann,Finance
10480,Make,Baba,Finance
10496,Gretta,Baig,Finance
10513,Yuichiro,Schicker,Finance
10543,Lein,Lichtman,Finance
10556,JoAnna,Taubman,Finance
10576,Xiaoqiu,Krychniak,Finance
10589,Subbu,Sanella,Finance
10615,Keung,Delgrande,Finance
10644,Pranas,Benaini,Finance
10655,Remko,Dalton,Finance
10657,Juichirou,Kitsuregawa,Finance
10666,Zhonghua,Reeker,Finance
10668,Maren,Granlund,Finance
10675,Ymte,Waschkowski,Finance
10685,Zongyan,Cusworth,Finance
10688,Xiaopeng,Lanphier,Finance
10727,Saeed,Kitai,Finance
10731,Fumitaka,Peak,Finance
10743,Kiyomitsu,Peltason,Finance
10748,Yuchang,Francisci,Finance
10760,Phillip,Dratva,Finance
10761,Sumali,Liedekerke,Finance
10806,Giap,Matzel,Finance
10827,Willard,Danley,Finance
10850,Florina,Schapire,Finance
10855,Kwangho,Reinhart,Finance
10866,Fayez,Yeung,Finance
10872,Karoline,Speel,Finance
10873,Sukumar,Wegerle,Finance
10901,Chrisa,Narahara,Finance
10906,Munehiro,Carrere,Finance
10912,Oscal,Fasbender,Finance
10913,Narain,Thummel,Finance
10918,Susumu,Reghbati,Finance
10934,Bartek,Strooper,Finance
10935,Morris,Famili,Finance
10949,Shigeichiro,Wroclawski,Finance
10951,Marco,Iisaku,Finance
10964,Takushi,Bolsens,Finance
10989,Sumali,Candan,Finance
11006,Christoper,Butterworth,Finance
11010,Jaques,Narwekar,Finance
11036,Muzhong,Greenaway,Finance
11046,Jixiang,Verhaegen,Finance
11061,Pintsang,Erni,Finance
11066,Shaz,Langford,Finance
11081,Barry,Boyle,Finance
11083,Shimshon,Ducloy,Finance
11122,Aleksandar,Randi,Finance
11148,Zhanqiu,Botman,Finance
11153,Honglan,Simmen,Finance
11164,Alain,Limongiello,Finance
11203,Sakthirel,Yetto,Finance
11273,Make,Guting,Finance
11283,Shmuel,Codenie,Finance
11285,Randy,Koshino,Finance
11295,Abdelkader,Lanzelotte,Finance
11309,Caolyn,Ranai,Finance
11346,Jungsoon,Fiebach,Finance
11354,Tianruo,Stasinski,Finance
11363,Jenwei,Milicia,Finance
11367,Christophe,Slobodova,Finance
11381,Shir,Vural,Finance
11392,Fatemeh,Reeken,Finance
11398,Oscar,Peir,Finance
11403,Baocai,Soicher,Finance
11422,Thanasis,Ghalwash,Finance
11426,Shuky,Schwartzbauer,Finance
11436,Christfried,Lindqvist,Finance
11475,Dekang,Siegrist,Finance
11479,Shridhar,Pleszkun,Finance
11513,Otmar,Mahnke,Finance
